iter	Logloss
0	0.6862460948
1	0.6814657362
2	0.6765121645
3	0.6714671689
4	0.6670515326
5	0.6641965248
6	0.6599992907
7	0.6561126394
8	0.6554108707
9	0.6516043186
10	0.6505104873
11	0.6476898683
12	0.6451458917
13	0.6427105217
14	0.6399995526
15	0.6381965581
16	0.6369768064
17	0.6316662957
18	0.6282144893
19	0.6267840548
20	0.6262238065
21	0.6255182496
22	0.6249448002
23	0.6247485935
24	0.6240945852
25	0.6214143105
26	0.621219247
27	0.6202838718
28	0.6195903142
29	0.6183923847
30	0.617565998
31	0.6170232258
32	0.6153340258
33	0.6153340257
34	0.6152507725
35	0.6135705161
36	0.6116086125
37	0.6091899251
38	0.6091231076
39	0.6056711992
40	0.602575898
41	0.6010230433
42	0.6001924529
43	0.5988484714
44	0.596576695
45	0.5948583393
46	0.5935847767
47	0.5920964459
48	0.5915304488
49	0.5908529524
50	0.5907694925
51	0.5907694854
52	0.5900022938
53	0.5883497968
54	0.5877823202
55	0.5877202904
56	0.5865076961
57	0.5862764001
58	0.5844041229
59	0.5840489305
60	0.5827114907
61	0.5810713129
62	0.5810377037
63	0.5800378914
64	0.578305166
65	0.5758494982
66	0.5758463688
67	0.5751747567
68	0.5740681226
69	0.5740681214
70	0.5740133753
71	0.574013375
72	0.5740133742
73	0.5739428371
74	0.5739428368
75	0.5719297946
76	0.5699288917
77	0.5696768106
78	0.5686936239
79	0.5663278317
80	0.5662732191
81	0.566108565
82	0.5661085631
83	0.5647300427
84	0.5646827984
85	0.5618412289
86	0.5598661817
87	0.5592082232
88	0.5577748161
89	0.5577748129
90	0.5549843451
91	0.5547377538
92	0.5526048757
93	0.5509396693
94	0.54988824
95	0.5478339821
96	0.5463044398
97	0.5446320455
98	0.5431437573
99	0.5411907401
