iter	Passed	Remaining
0	60	5967
1	64	3163
2	68	2202
3	71	1716
4	74	1414
5	78	1223
6	81	1088
7	86	991
8	89	902
9	92	829
10	95	772
11	98	722
12	101	682
13	105	647
14	109	619
15	115	605
16	120	588
17	123	562
18	127	544
19	130	522
20	134	506
21	138	491
22	141	472
23	144	459
24	149	448
25	152	433
26	154	417
27	157	405
28	160	392
29	163	381
30	166	371
31	169	361
32	173	352
33	175	339
34	177	329
35	180	320
36	183	312
37	186	304
38	188	294
39	191	287
40	194	279
41	197	272
42	201	266
43	204	260
44	207	254
45	211	248
46	214	242
47	217	235
48	221	230
49	224	224
50	227	218
51	229	212
52	232	206
53	235	200
54	237	194
55	239	188
56	242	182
57	244	177
58	248	172
59	251	167
60	254	162
61	257	157
62	260	152
63	263	148
64	265	143
65	268	138
66	270	133
67	273	128
68	275	123
69	277	119
70	280	114
71	282	109
72	283	104
73	286	100
74	287	95
75	290	91
76	293	87
77	296	83
78	301	80
79	306	76
80	310	72
81	315	69
82	317	65
83	321	61
84	325	57
85	328	53
86	331	49
87	334	45
88	337	41
89	340	37
90	344	34
91	349	30
92	353	26
93	357	22
94	361	19
95	365	15
96	368	11
97	373	7
98	378	3
99	382	0
